1433B_HUMAN	7529
P31946	7529
1433B_MOUSE	54401
Q9CQV8	54401
O70455	54401
Q3TY33	54401
Q3UAN6	54401
1433B_RAT	56011
P35213	56011
1433E_HUMAN	7531
P62258	7531
P29360	7531
P42655	7531
Q53XZ5	7531
Q63631	7531
Q7M4R4	7531
1433E_RAT	29753
P62260	29753
P29360	29753
P42655	29753
Q63631	29753
1433F_HUMAN	7533
Q04917	7533
1433F_MOUSE	22629
P68510	22629
P11576	22629
P70198	22629
Q3TGZ9	22629
1433F_RAT	25576
P68511	25576
P11576	25576
P70198	25576
1433G_HUMAN	7532
P61981	7532
O70457	7532
P35214	7532
Q6FH52	7532
Q9UDP2	7532
Q9UN99	7532
1433G_MOUSE	22628
P61982	22628
O70457	22628
P35214	22628
Q3UFD6	22628
Q4FK44	22628
Q9UDP2	22628
Q9UN99	22628
1433G_RAT	56010
P61983	56010
A0JPM0	56010
O70457	56010
P35214	56010
Q9UDP2	56010
Q9UN99	56010
1433S_HUMAN	2810
P31947	2810
Q6FH30	2810
Q6FH51	2810
Q96DH0	2810
1433T_HUMAN	10971
P27348	10971
Q567U5	10971
Q5TZU8	10971
Q9UP48	10971
1433T_MOUSE	22630
P68254	22630
P35216	22630
Q3TW69	22630
Q3UJN5	22630
Q5SP76	22630
Q5U423	22630
Q66JR6	22630
1433T_RAT	25577
P68255	25577
P35216	25577
1433Z_HUMAN	7534
P63104	7534
P29213	7534
P29312	7534
Q32P43	7534
Q5XJ08	7534
Q6GPI2	7534
Q6IN74	7534
Q6NUR9	7534
Q6P3U9	7534
Q86V33	7534
1433Z_MOUSE	22631
P63101	22631
P35215	22631
P70197	22631
P97286	22631
Q3TSF1	22631
Q5EBQ1	22631
1433Z_RAT	25578
P63102	25578
P35215	25578
P70197	25578
P97286	25578
Q52KK1	25578
Q6IRF4	25578
1A03_HUMAN	3105
P04439	3105
O19546	3105
O19756	3105
Q65A82	3105
Q9GJE6	3105
Q9GJE7	3105
Q9GJE8	3105
Q9MYE6	3105
Q9MYG4	3105
Q9TPR8	3105
1A1L1_HUMAN	84680
Q96QU6	84680
Q8WUL4	84680
Q96LX5	84680
1A1L2_HUMAN	390110
Q4AC99	390110
1A1L2_MOUSE	381411
Q3UX83	381411
Q3TQ30	381411
1A26_HUMAN	100133382
P30450	100133382
O02963	100133382
O78073	100133382
P79563	100133382
Q30208	100133382
Q31623	100133382
Q95377	100133382
Q9BD15	100133382
Q9BD19	100133382
Q9MW42	100133382
Q9TQK5	100133382
