Pzp	11287
A1m	11287
A2m	11287
AI893533	11287
MAM	11287
Aanat	11298
MGC151344	11298
Nat-2	11298
Nat4	11298
SNAT	11298
Aatk	11302
AATYK	11302
aatyk1	11302
mKIAA0641	11302
Abca1	11303
Abc1	11303
Abca4	11304
AW050280	11304
Abc10	11304
Abcr	11304
D430003I15Rik	11304
RmP	11304
Abca2	11305
AI413825	11305
Abc2	11305
D2H0S1474E	11305
mKIAA1062	11305
Abcb7	11306
AA517758	11306
AU019072	11306
Abc7	11306
Abcg1	11307
AW413978	11307
Abc8	11307
MGC141022	11307
White	11307
Abi1	11308
E3B1	11308
MGC6064	11308
NAP1	11308
Ssh3bp1	11308
Abl1	11350
AI325092	11350
Abl	11350
E430008G22Rik	11350
MGC117749	11350
c-Abl	11350
Abl2	11352
AA536808	11352
Abll	11352
Arg	11352
MGC169395	11352
abn	11353
Abpa	11354
Abp	11354
Sal-1	11354
Tcp	11354
ac	11358
Acadl	11363
AA960361	11363
AU018452	11363
C79855	11363
LCAD	11363
Acadm	11364
AU018656	11364
MCAD	11364
Acadvl	11370
vlcad	11370
Acads	11409
AI196007	11409
Bcd-1	11409
Bcd1	11409
SCAD	11409
Slc33a1	11416
AI315656	11416
AI788741	11416
Acatn	11416
D630022N01Rik	11416
Accn1	11418
ACIC2	11418
ASIC2	11418
BNC1	11418
BNaC1a	11418
Mdeg	11418
Accn2	11419
AI843610	11419
ASIC	11419
ASIC1	11419
ASIC1a	11419
B530003N02Rik	11419
BNaC2	11419
Ace	11421
AW208573	11421
CD143	11421
MGC117827	11421
Ache	11423
mE1a	11423
mE1b	11423
mE1c	11423
mE1c-long	11423
mE1d	11423
mE1d'	11423
mE1e	11423
Apoc4	11425
Acl	11425
MGC117889	11425
Macf1	11426
ABP620	11426
Acf7	11426
Aclp7	11426
MACF	11426
R74989	11426
mACF7	11426
mKIAA0465	11426
Aco1	11428
AI256519	11428
Aco-1	11428
Irebp	11428
Irp1	11428
Aco2	11429
Aco-2	11429
Aco3	11429
D10Wsu183e	11429
Acox1	11430
AI042784	11430
AOX	11430
D130055E20Rik	11430
Acp1	11431
